name,cf_url,modrinth_url,github_url,manual_versions,incompat,description,side,notes,type,status
Boat Break Fix,https://www.curseforge.com/minecraft/mc-mods/boat-break-fix,https://modrinth.com/mod/boat-break-fix,,,,"Fixes bug where boat breaks if falls from a height of 12, 13, 49, 51, 111, 114, 198, 202, 310, or 315 blocks",Server,,bugfix,
Max Health Fix,https://www.curseforge.com/minecraft/mc-mods/max-health-fix,https://modrinth.com/mod/max-health-fix,,,,"Fixes bug where ""Max Health"" attribute is ignored when a player joins the game, causing players with a health value greater than the default limit of 20 to be reset back down to 20,",Server,,bugfix,
Rebind Narrator,https://www.curseforge.com/minecraft/mc-mods/rebind-narrator,https://modrinth.com/mod/rebind-narrator,,,,lets you rebind the narrator key (Ctrl + B),Client,,"bugfix,utility",
AttributeFix (Fabric),https://www.curseforge.com/minecraft/mc-mods/attribute,,,,,"Removes attribute caps (for armor values, attack damage, etc)",Server,can cause unintended behavior with some mods,bugfix,
Biome Id Fixer,https://www.curseforge.com/minecraft/mc-mods/biome-id-fixer,,,,,Fixes biome ids being remapped when adding or removing biomes.,Server,,bugfix,
Third Person Camera Fix,https://www.curseforge.com/minecraft/mc-mods/third-person-camera-fix,,,,,Fixes camera angles when your head is in a non-collidable block,Client,,bugfix,
MekFix,https://www.curseforge.com/minecraft/mc-mods/mekfix,,,,,Backports Mekanism bug fix that causes XP to drop from machines when using the cardboard box on them (Mekanism#7600),Server,,bugfix,
Duplicate Entity UUID Fix,https://www.curseforge.com/minecraft/mc-mods/deuf-duplicate-entity-uuid-fix,,,,,Fixes log spam from duplicate entity UUIDs,Server,,bugfix,
Magnesium/Rubidium Extras,https://www.curseforge.com/minecraft/mc-mods/magnesium-extras,,,,,Fixes bugs with Sodium and Forge and adds entity culling,Client,,"bugfix,performance",
FX's Rail Optimization,https://www.curseforge.com/minecraft/mc-mods/fxs-rail-optimization,https://modrinth.com/mod/rail-optimization,,,,makes powered/activator rails turning on/off up to 4x faster,Either,,performance,
Calm Down Zombie Guy,https://www.curseforge.com/minecraft/mc-mods/calm-down-zombie-guy,,,,,fixes a niche bug that causes Zombie Pigmen to be able to attack you in the Overworld from the Nether if they are aggroed while the player transitions.,Both,,bugfix,
Entity Desync Fix,https://www.curseforge.com/minecraft/mc-mods/entity-desync-fix,,,,,fixes entity motion desync (most notable with arrows and thrown items),Both,,bugfix,
Thaumcraft 4 Tweaks,https://www.curseforge.com/minecraft/mc-mods/tc4tweaks,,,,,fixes UI issues and performance,Both,,"bugfix,performance",
Fixeroo,https://www.curseforge.com/minecraft/mc-mods/xp-orb-clump,,,,Clumps,"Clumps groups XP orbs together into a single entity to reduce lag when there are many in a small area, but without adding a new entity.",Server,,performance,
Dimensional Threading Reforged,https://www.curseforge.com/minecraft/mc-mods/dimensional-threading-reforged,none,,,,"Optimizes the processing of multiple Dimensions, by assigning them independent threads",Either,Incompatible (2),performance,3
Enhanced Block Entities Reforged,https://www.curseforge.com/minecraft/mc-mods/enhanced-block-entities-reforged-unofficial,none,,,,"Aims to increase the performance of block entity rendering, as well as offer customizability via resource packs.",Client,,performance,
Fix Alt Gr,,https://modrinth.com/mod/fix-alt-gr,,,,"Fixes the MC-127862 bug, which sometimes makes the Alt Gr key lock your left control key in a pressed state. ",Client,,bugfix,
Starlight Legacy,,https://modrinth.com/mod/starlight-legacy,,,,Unofficial backport of Starlight for 1.14 and 1.15. rewrites the light engine to fix lighting performance and lighting errors.,Either,,performance,
Splash Logo Color Fix,https://www.curseforge.com/minecraft/mc-mods/splash-logo-color-fix,,,,,fixes the color of the mojang logo when a background is applied to Forge's spash screen.,Client,,bugfix,
VintageFix,https://www.curseforge.com/minecraft/mc-mods/vintagefix,https://modrinth.com/mod/vintagefix,,,FoamFix,Load time and memory use optimizations for Forge 1.12,Either,recommended to use the latest version of CensoredASM,performance,
Mobs No Render,https://www.curseforge.com/minecraft/mc-mods/mobs-no-render,https://modrinth.com/mod/mobs-no-render,,,,Stops rendering entities out of a certain range,Client,,performance,
OptimizationsAndTweaks,https://www.curseforge.com/minecraft/mc-mods/optimizationsandtweaks,https://modrinth.com/mod/optimizationsandtweaks,,,,Adds multithreading for some features in 1.7.10 that can improve TPS and FPS in some situations,Both,alpha,performance,3
Raknetify,https://www.curseforge.com/minecraft/mc-mods/raknetify,https://modrinth.com/plugin/raknetify,,,,"Allows users to use RakNet to connect to servers, which improves network performance, especially bad connections",Both,,performance,
Starlight (1.16),none,none,https://github.com/PaperMC/Starlight/,"[[""1.16.5"", ""Forge""], [""1.16.5"", ""Fabric""], [""1.16.4"", ""Fabric""], [""1.16.3"", ""Fabric""], [""1.16.2"", ""Fabric""], [""1.16.1"", ""Fabric""], [""1.16"", ""Fabric""]]",,rewrites the light engine to fix lighting performance and lighting errors,Either,beta,performance,4
KaizPatch,none,none,https://github.com/Kai-Z-JP/KaizPatchX,"[[""1.7.10"", ""Forge""]]",,fixes some RealTrainMod bugs and makes it more useful.,Both,,bugfix,
PortalSuperCache,none,none,https://github.com/LucunJi/PortalSuperCacheForge112/,"[[""1.12.2"", ""Forge""]]",FTB Utilities,Search portal blocks at a high speed on teleport,Both,"alpha, may have minor bugs",performance,3
Krypton (1.14),none,none,https://github.com/KingContaria/krypton-1.14,"[[""1.14"", ""Fabric""], [""1.14.1"", ""Fabric""], [""1.14.2"", ""Fabric""], [""1.14.3"", ""Fabric""], [""1.14.4"", ""Fabric""]]",,Unofficial backport of Krypton for 1.14. Implements a suite of optimizations focused on the Minecraft networking stack.,Either,,performance,
Lithium (1.14),none,none,https://github.com/KingContaria/lithium-fabric-1.14,"[[""1.14"", ""Fabric""], [""1.14.1"", ""Fabric""], [""1.14.2"", ""Fabric""], [""1.14.3"", ""Fabric""], [""1.14.4"", ""Fabric""]]",,Unofficial backport of Lithium for 1.14. A general-purpose optimization mod which works to improve a number of systems without changing any behavior,Either,,performance,
Sodium (mrmangohands),none,none,https://github.com/mrmangohands/sodium-fabric,"[[""1.16.1"", ""Fabric""], [""1.15.2"", ""Fabric""]]",,"Unofficial backport of Sodium for 1.15.2 and 1.16.1, intended for speedrunning. FOSS rendering engine replacement that greatly improves frame rates, reduces micro-stutter, and fixes graphical issues.",Client,Use mcsr-sodium-1.16.1/mcsr-sodium-mac-1.16.1/mcsr-sodium-1.15.2 instead,performance,1
FastChest,none,none,https://github.com/FakeDomi/FastChest,"[[""1.16.5"", ""Fabric""], [""1.16.4"", ""Fabric""], [""1.16.3"", ""Fabric""], [""1.16.2"", ""Fabric""], [""1.16.1"", ""Fabric""], [""1.16"", ""Fabric""], [""1.15.2"", ""Fabric""], [""1.15.1"", ""Fabric""], [""1.15"", ""Fabric""], [""1.18.2"", ""Fabric""], [""1.18.1"", ""Fabric""], [""1.18"", ""Fabric""], [""1.17.1"", ""Fabric""], [""1.17"", ""Fabric""], [""1.19.4"", ""Fabric""], [""1.19.3"", ""Fabric""], [""1.19.2"", ""Fabric""], [""1.19.1"", ""Fabric""], [""1.19"", ""Fabric""], [""1.20.1"", ""Fabric""], [""1.20"", ""Fabric""]]",,Removes dynamic models from chests and makes them render as static chunk geometry.,Client,,performance,
Hopper Optimizations,none,none,https://github.com/2No2Name/hopperOptimizations,"[[""1.16.5"", ""Fabric""], [""1.16.4"", ""Fabric""], [""1.16.3"", ""Fabric""], [""1.16.2"", ""Fabric""], [""1.16.1"", ""Fabric""], [""1.15.2"", ""Fabric""]]",,optimizes hoppers and their interactions with entities and inventories,Server,requires a custom fork of Lithium,performance,4
Tic-Tacs,none,none,https://github.com/Gegy/tic-tacs/,"[[""1.16.5"", ""Fabric""], [""1.16.4"", ""Fabric""], [""1.16.3"", ""Fabric""], [""1.16.2"", ""Fabric""]]",C2ME,experimental reimplementation of Minecraft's chunk loading engine,Server,Alpha,performance,2
VanillaFix (1.16),none,none,https://github.com/DimensionalDevelopment/VanillaFix,"[[""1.16.5"", ""Fabric""]]",,Improves performance and fixes bugs and annoyances in vanilla Minecraft,Both,beta,performance,4
CoreTweaks,none,none,https://github.com/makamys/CoreTweaks/,"[[""1.7.10"", ""Forge""]]",,Speeds up game startup,Either,,performance,
LWJGL3ify,none,none,https://github.com/GTNewHorizons/lwjgl3ify,"[[""1.7.10"", ""Forge""]]","Just Another Spawner, SoundPhysics","Allows 1.7.10 to run with the latest version of LWJGL3 and Java 17, 19 or 20",Both,"incompatible with many mods, has a custom installation method (check the README on Github) that only works on MultiMC/Prism",performance,3
Neodymium,none,none,https://github.com/makamys/Neodymium,"[[""1.7.10"", ""Forge""]]",CoFHTweaks,Reimplements chunk rendering with modern OpenGL,Client,https://github.com/makamys/Neodymium#incompatibilities,performance,4
PathfinderTweaks,none,none,https://github.com/HostileNetworks/OBSOLETE-ReignModpack/blob/master/mods/PathfinderTweaks-1.7.10-1.0.13.jar,"[[""1.7.10"", ""Forge""]]",,Modifies entities' pathfinding for better performance,Server,Coremod. See AI-Improvements#7 for a feature list,performance,4
SaltLib,none,none,https://github.com/DeexCoding/SaltLib,"[[""1.8.9"", ""Fabric""]]",,Unofficial backport of Sodium for 1.8.9,Client,,performance,3
Lithium (1.16.1),none,none,https://github.com/mrmangohands/lithium-fabric/,"[[""1.16.1"", ""Fabric""]]",,"Unofficial backport of Lithium for 1.16.1, intended for speedrunning. A general-purpose optimization mod which works to improve a number of systems without changing any behavior",Either,,performance,
Phosphor (1.16.1),none,none,https://github.com/mrmangohands/phosphor-fabric,"[[""1.16.1"", ""Fabric""]]",,"Unofficial backport of Phosphor for 1.16.1, intended for speedrunning. Optimizes the lighting engine",Either,,performance,
Krypton (1.16.1),none,none,https://github.com/mrmangohands/krypton,"[[""1.16.1"", ""Fabric""], [""1.16.2"", ""Fabric""], [""1.16.3"", ""Fabric""], [""1.15"", ""Fabric""], [""1.15.1"", ""Fabric""], [""1.15.2"", ""Fabric""], [""1.16"", ""Fabric""]]",,"Unofficial backport of Krypton for 1.16.1, intended for speedrunning. Implements a suite of optimizations focused on the Minecraft networking stack.",Either,,performance,
backport5160,none,none,https://github.com/makamys/minecraft-backport5160/tree/fix-ssp-stutter-release,"[[""1.7.10"", ""Forge""]]",,Improves entity ticking and position tracking,Both,Use CoreTweaks instead,performance,1
BetterCrashes,none,none,https://github.com/vfyjxf/BetterCrashes,"[[""1.7.10"", ""Forge""]]",,Backports VanillaFix's crash improvement features,Client,"If using Hodgepodge, turn off fixGuiGameOver in the config",utility,4
CrashGuard,none,none,https://github.com/FalsePattern/CrashGuard,"[[""1.7.10"", ""Forge""]]",,Backports VanillaFix's crash screen,Client,Use CoreTweaks instead,utility,1
LeafCulling,none,none,https://github.com/basdxz/LeafCulling,"[[""1.7.10"", ""Forge""]]",NotFine,"cancels the rendering of hidden leaf sides, similar to Optifine's Smart Leaves option",Client,,performance,
TcpNoDelayMod,none,none,https://github.com/prplz/TcpNoDelayMod,"[[""1.7.10"", ""Forge""], [""1.7.2"", ""Forge""], [""1.8"", ""Forge""]]",,reduces ingame latency by setting TCP_NODELAY to true,Either,Use CoreTweaks or Hodgepodge,performance,1
NotFine,none,none,https://github.com/jss2a98aj/NotFine,"[[""1.7.10"", ""Forge""]]",LeafCulling,Extra video settings for 1.7.10,Client,alpha,performance,3
Non Update,https://www.curseforge.com/minecraft/mc-mods/non-update,none,,,,Disable update checking for all mods to decrease launch time.,Client,"Breaks mods that need to connect to the internet to download files (e.g. Et Futurum Requiem, FalsePatternLib). Recommended to disable it for the first launch.",performance,3
DTools,none,none,https://github.com/makamys/DTools,"[[""1.7.10"", ""Forge""]]",,"Contains various utilities for debugging, benchmarking and testing.",Both,,utility,
Voyager,none,none,https://github.com/modmuss50/Voyager,"[[""1.16.5"", ""Fabric""], [""1.16.4"", ""Fabric""], [""1.16.3"", ""Fabric""], [""1.16.2"", ""Fabric""], [""1.16.1"", ""Fabric""], [""1.15.2"", ""Fabric""], [""1.15.1"", ""Fabric""], [""1.15"", ""Fabric""], [""1.14.4"", ""Fabric""], [""1.14.3"", ""Fabric""], [""1.14.2"",""Fabric""],[""1.14.1"",""Fabric""],[""1.14"",""Fabric""]]",,Fixes a rare CME (ConcurrentModificationException) when using Java 11+ (MC-149777),Server,fixed in Fabric API 0.26.2,bugfix,1
Sodium (mcsr-sodium-1.16.1),none,none,https://github.com/Minecraft-Java-Edition-Speedrunning/mcsr-sodium-1.16.1,"[[""1.16.1"", ""Fabric""]]",,"Unofficial backport of Sodium for 1.16.1, intended for speedrunning. FOSS rendering engine replacement that greatly improves frame rates, reduces micro-stutter, and fixes graphical issues.",Client,,performance,
Sodium (mcsr-sodium-mac-1.16.1),none,none,https://github.com/Minecraft-Java-Edition-Speedrunning/mcsr-sodium-mac-1.16.1,"[[""1.16.1"", ""Fabric""]]",,"Unofficial backport of Sodium for 1.16.1 on macOS, intended for speedrunning. FOSS rendering engine replacement that greatly improves frame rates, reduces micro-stutter, and fixes graphical issues.",Client,,performance,
LazyStronghold,none,none,https://github.com/Gregor0410/LazyStronghold/,"[[""1.16.1"", ""Fabric""], [""1.16.5"", ""Fabric""], [""1.14.4"", ""Fabric""], [""1.15.2"", ""Fabric""], [""1.17.1"", ""Fabric""]]",,Generates stronghold locations on a seperate thread to speed up world gen,Server,,performance,
SleepBackground,none,none,https://github.com/RedLime/SleepBackground/,"[[""1.7"",""Fabric""],[""1.7.1"",""Fabric""],[""1.7.2"",""Fabric""],[""1.7.3"",""Fabric""],[""1.7.4"",""Fabric""],[""1.7.5"",""Fabric""],[""1.7.6"",""Fabric""],[""1.7.8"",""Fabric""],[""1.7.9"",""Fabric""],[""1.7.10"",""Fabric""],[""1.8"",""Fabric""],[""1.8.1"",""Fabric""],[""1.8.2"",""Fabric""],[""1.8.3"",""Fabric""],[""1.8.4"",""Fabric""],[""1.8.5"",""Fabric""],[""1.8.6"",""Fabric""],[""1.8.7"",""Fabric""],[""1.8.8"",""Fabric""],[""1.8.9"",""Fabric""],[""1.9"",""Fabric""],[""1.9.1"",""Fabric""],[""1.9.2"",""Fabric""],[""1.9.3"",""Fabric""],[""1.9.4"",""Fabric""],[""1.10"",""Fabric""],[""1.10.1"",""Fabric""],[""1.10.2"",""Fabric""],[""1.11"",""Fabric""],[""1.11.1"",""Fabric""],[""1.11.2"",""Fabric""],[""1.12"",""Fabric""],[""1.12.1"",""Fabric""],[""1.12.2"",""Fabric""],[""1.13"",""Fabric""],[""1.13.1"",""Fabric""],[""1.13.2"",""Fabric""],[""1.14"",""Fabric""],[""1.14.1"",""Fabric""],[""1.14.2"",""Fabric""],[""1.14.3"",""Fabric""],[""1.14.4"",""Fabric""],[""1.15"",""Fabric""],[""1.15.1"",""Fabric""],[""1.15.2"",""Fabric""],[""1.16"",""Fabric""],[""1.16.1"",""Fabric""],[""1.16.2"",""Fabric""],[""1.16.3"",""Fabric""],[""1.16.4"",""Fabric""],[""1.16.5"",""Fabric""],[""1.17"",""Fabric""],[""1.17.1"",""Fabric""],[""1.18"",""Fabric""],[""1.18.1"",""Fabric""],[""1.18.2"",""Fabric""]]",,Improve performance when Minecraft is in the background with config,Client,,performance,
Stuff A Sock In It,https://www.curseforge.com/minecraft/mc-mods/stuff-a-sock-in-it,https://modrinth.com/mod/stuff-a-sock-in-it,,,,Allows you to remove annoying logs.,Either,"configuration needed, 1.10/1.11 versions are coremods",utility,
Shut Up Console,https://www.curseforge.com/minecraft/mc-mods/shut-up-console,,,,,Allows you to remove annoying logs.,Either,configuration needed,utility,
NoChatLag,https://www.curseforge.com/minecraft/mc-mods/nochatlag,https://modrinth.com/mod/nochatlag,,,,Fix lag spike every 2 minutes caused by WEB-5587,Client,,"performance,bugfix",
Starlight x Create,https://www.curseforge.com/minecraft/mc-mods/starlight-x-create,,,,,Fork of Starlight providing Create compatibility,Either,This is the only 1.16 Forge version of Starlight installable via Curseforge,performance,
Embeddium Extras,https://www.curseforge.com/minecraft/mc-mods/embeddium-extras,,,,,Fork of Mangesium/Rubidium Extras adding a few configuration options and removing some others.,Client,,performance,
Fix Selected Item Text,https://www.curseforge.com/minecraft/mc-mods/fix-selected-item-text,,,,,Automatically shifts tooltips upward if they are blocked by hotbar elements,Client,,bugfix,
FullStack Watchdog,https://www.curseforge.com/minecraft/mc-mods/fullstack-watchdog,https://modrinth.com/mod/fullstack-watchdog,,,,Shows full stack traces for all threads if watchdog kills the server due to deadlock,Server,,utility,
StackDeobfuscator,https://www.curseforge.com/minecraft/mc-mods/stackdeobf,https://modrinth.com/mod/stackdeobf,,,,Remaps names in stacktraces to readable mapped names,Either,,utility,
Entity NaN Health Fix,https://www.curseforge.com/minecraft/mc-mods/entity-nan-health-fix,,,,,Kills or restores entity with NaN health,Server,,bugfix,
NaN Health Fixer,https://www.curseforge.com/minecraft/mc-mods/nan-health-fixer,https://modrinth.com/mod/nan-health-fixer,,,,"Kills entities with NaN health, and prevents attacks with NaN damages from hurting entities",Server,,bugfix,
Amecs,https://www.curseforge.com/minecraft/mc-mods/amecs,https://modrinth.com/mod/amecs,,,,"Adds modifier keys, multi-functional keys, and a search bar on the controls screen.",Client,,utility,
Ctrl Q,https://www.curseforge.com/minecraft/mc-mods/ctrl-q,https://modrinth.com/mod/ctrl-q,,,,"Forces ""Ctrl+Q"" to drop a stack of items, bypaassing the macOS shortcut",Client,useless for non-macOS users,bugfix,
MacOS Input Fixes,https://www.curseforge.com/minecraft/mc-mods/macos-input-fixes,https://modrinth.com/mod/macos-input-fixes,,,,fixes multiple macOS input bugs.,Client,useless for non-macOS users,bugfix,
Title Fixer,https://www.curseforge.com/minecraft/mc-mods/title-fixer,https://modrinth.com/mod/title-fixer,,,Exordium,Ensures that titles always fit onscreen.,Client,,bugfix,
Bee Fix,https://www.curseforge.com/minecraft/mc-mods/bee-fix,none,,,,Fixes multiple bee-related bugs,Either,,"performance,bugfix",
Indium,https://www.curseforge.com/minecraft/mc-mods/indium,https://modrinth.com/mod/indium,,,,addon for Sodium that provides support for the Fabric Rendering API that is required by many mods that use advanced rendering effects,Client,,utility,
Smooth Boot (Forge),https://www.curseforge.com/minecraft/mc-mods/smooth-boot-forge,none,,,,Optimizes loading performance to be smoother on low end systems and scale better on high end systems.,Either,"caps the number of worker threads, so on CPUs with lots of cores it might make launching slower.",performance,4
Roughly Enough IDs,https://www.curseforge.com/minecraft/mc-mods/reid,https://modrinth.com/mod/reid,,,,"Fork of JustEnoughIDs with compatibility for additional mods. removes the block, item, biome, potion, and enchantment ID limits by using the 1.13 chunk format in 1.12.",Both,,bugfix,
AI Reducer,https://www.curseforge.com/minecraft/mc-mods/ai-reducer,,,,,reduces the lag from AI in modded environments.,Both,"On 1.16, only install this if you have a mod that increases max entity radius (Lycanites Mobs, Advanced Rocketry, Immersive Railroading, etc.); otherwise, it'll make it run slower.",performance,3
PerViamInvenire,https://www.curseforge.com/minecraft/mc-mods/perviaminvenire,,,,,Replaces vanilla ground mobs' pathfinder with a multi-threaded implementation.,Both,can be configured with a datapack to apply to modded mobs,performance,
Client Side Noteblocks,https://www.curseforge.com/minecraft/mc-mods/client-side-noteblocks,https://modrinth.com/mod/clientsidenoteblocks,,,,"Plays noteblock sounds on client side without needing to contact the server, reducing lag.",Client,,performance,
Better Beds Reforged,,https://modrinth.com/mod/better-beds-reforged,,,,Removes the Block Entity Renderer from the bed and replaces it with the default minecraft model renderer.,Client,,performance,
SmoothMenu Refabricated,none,https://modrinth.com/mod/smoothmenu-refabricated,,,,"Uncaps the 60 FPS limit in the main menu, increasing responsivity on high refresh monitors.",Client,may only be effective if you have a high refresh monitor,performance,
SmoothMenu,https://www.curseforge.com/minecraft/mc-mods/smoothmenu,none,,,,"Uncaps the 60 FPS limit in the main menu, increasing responsivity on high refresh monitors.",Client,may only be effective if you have a high refresh monitor,performance,
Axolotl Bucket Fix (Forge),https://www.curseforge.com/minecraft/mc-mods/axolotl-bucket-fix-forge,https://modrinth.com/mod/axolotl-bucket-fix-forge,,,,fixes axolotl buckets so that the item texture shows you what's actually inside it.,Client,,bugfix,
Cyanide (Forge),https://www.curseforge.com/minecraft/mc-mods/cyanide,https://modrinth.com/mod/cyanide,,,,Improves datapack error logging,Server,,utility,
Level Text Fix,https://www.curseforge.com/minecraft/mc-mods/level-text-fix,https://modrinth.com/mod/level-text-fix,,,,"Fix missing localization entries for enchantment and potion levels greater than 10, and add config option to switch them to Arabic numerals.",Both,,bugfix,
SkinPort,https://www.curseforge.com/minecraft/mc-mods/skinport,,,,,Adds rendering support for the new 1.8 skin format.,Both,,utility,
Netty-Patcher,,,https://github.com/draknyte1/Netty-Patcher,"[[""1.7.10"", ""Forge""]]",,Fixes MC-108343,Client,,bugfix,
TellMe,https://www.curseforge.com/minecraft/mc-mods/tellme,,,,,Has various commands for dumping technical information about the game.,Client Optional,,utility,
Anti Id Conflict,https://www.curseforge.com/minecraft/mc-mods/anti-id-conflict,,https://github.com/Elix-x/Anti-Id-Conflict/,,,Helps resolve ID conflicts by logging all ids and what they are occupied by.,Both,,utility,
CocoaInput,https://www.curseforge.com/minecraft/mc-mods/cocoainput,,,,,"Adds support for IME input methods (Japanese, Chinese, Korean)",Client,unnecessary unless you use one of the applicable languages,utility,
FastFurnace Minus Replacement,https://www.curseforge.com/minecraft/mc-mods/fastfurnace-minus-replacement,,,,,Rewrite of FastFurnance using mixins.,Server,unneeded now because the original mod has been rewritten using mixins,performance,1
FastWorkbench Minus Replacement,https://www.curseforge.com/minecraft/mc-mods/fastworkbench-minus-replacement,,,,,Rewrite of FastWorkbench using mixins,Server,unneeded now because the original mod has been rewritten using mixins,performance,1
Async Locator,https://www.curseforge.com/minecraft/mc-mods/async-locator,https://modrinth.com/mod/async-locator,,,,"Modifies vanilla behaviour when locating features (eg. /locate command, exploration maps, etc) to run asynchronously, mitigating associated lag.",Server,,performance,
Load My F***ing Tags,https://www.curseforge.com/minecraft/mc-mods/lmft,https://modrinth.com/mod/lmft,,,,Prevents incorrect tag entries from breaking an entire tag,Both,,bugfix,
Entity View Distance,https://www.curseforge.com/minecraft/mc-mods/entity-view-distance,https://modrinth.com/mod/entity-view-distance/,,,,allows you to modify the distance in which entities become visible,Either,already included in Sodium/Rubidium,performance,
Thaumic Speedup,https://www.curseforge.com/minecraft/mc-mods/thaumic-speedup,,,,,Offloads some Thaumcraft stuff to another thread,Both,,performance,
IC2 Patcher,https://www.curseforge.com/minecraft/mc-mods/ic2-patcher,,,,,Fixes several issues in IndustrialCraft 2,Both,,performance,
Console Filter,https://www.curseforge.com/minecraft/mc-mods/console-filter,,,,,Allows you to remove annoying logs.,Either,configuration needed,utility,
Keyboard Wizard,https://www.curseforge.com/minecraft/mc-mods/keyboard-wizard,,,,,Adds a keyboard GUI to help solve keybind conflicts,Client,,utility,
Mekanism Community Edition,https://www.curseforge.com/minecraft/mc-mods/mekanism-ce,,,,,Unofficial fork of Mekanism that adds bugfixes and optimizations,Both,,"performance,bugfix",
Mixin 0.7-0.8 Compatibility,https://www.curseforge.com/minecraft/mc-mods/mixin-0-7-0-8-compatibility,,,,,Fixes crashes if mods use different versions of Mixin,Both,,bugfix,
ThreadTweak,,https://modrinth.com/mod/threadtweak,,,,Improve and tweak Minecraft thread scheduling.,Either,,performance,
More Culling Extra,https://www.curseforge.com/minecraft/mc-mods/morecullingextra,https://modrinth.com/mod/morecullingextra,,,,Adds a few small culling optimizations.,Client,,performance,
Leaky,https://www.curseforge.com/minecraft/mc-mods/leaky,,,,,Detects farm setups leaking items which causes lag.,Client Optional,closed source,utility,
SerializationIsBad,https://www.curseforge.com/minecraft/mc-mods/serializationisbad,https://www.curseforge.com/minecraft/mc-mods/serializationisbad,,,,Patches the ObjectInputStream remote code execution vulnerability,Either,,bugfix,
fix GPU memory leak,https://www.curseforge.com/minecraft/mc-mods/fix-gpu-memory-leak,,,,,Fixes some GPU memory leak bugs,Client,closed source,bugfix,
Better chunk loading,https://www.curseforge.com/minecraft/mc-mods/better-chunk-loading-forge-fabric,,,,,Increases chunk loading speed and pre-loads chunks by predicting player movement,Server,"closed source; unknown effectiveness, need more info",performance,3
Client Crafting,https://www.curseforge.com/minecraft/mc-mods/client-crafting,,,,,Improves crafting UI responsiveness by no longer waiting for server reply,Client,closed source,performance,
Mixin In Heaven,https://www.curseforge.com/minecraft/mc-mods/mixin-in-heaven,,,,,Unofficial Forge port of MixinTrace. adds a list of mixins to classes in the stack trace of crash reports,Server,,utility,
Opotato,https://www.curseforge.com/minecraft/mc-mods/opotato,,,,,"Backports Alternate Current, Smooth Menu, MixinTrace and DEUF, and adds config options/bugfixes for a variety of other mods.",Both,"unknown effectiveness, more info needed","performance,bugfix",3
Redirectionor (Modern),https://www.curseforge.com/minecraft/mc-mods/redirectionor,,,,,Reduces memory usage by replacing references to element values in enum classes with public static final field values references.,Client Optional,,performance,4
Neruina,https://www.curseforge.com/minecraft/mc-mods/neruina,https://modrinth.com/mod/neruina,,,,Prevents ticking crashes from bricking worlds,Server,should only be used as a last resort,bugfix,3
ForgetMeChunk (Forge),https://www.curseforge.com/minecraft/mc-mods/forgetmechunk-forge,none,,,,Fixes the large lag spikes you sometimes get when crossing a chunk border,Client,causes a memory leak that is only reset by changing dimension or leaving the world,performance,3
Embeddium,https://www.curseforge.com/minecraft/mc-mods/embeddium,,,,"Magnesium, Optifine","Unofficial Forge port of Sodium with additional Forge-specific bugfixes. FOSS rendering engine replacement that greatly improves frame rates, reduces micro-stutter, and fixes graphical issues.",Client,incompatibilities with some mods,performance,4
Alfheim Lighting Engine,https://www.curseforge.com/minecraft/mc-mods/alfheim-lighting-engine,https://modrinth.com/mod/alfheim,,,"Phosphor, Hesperus",A fork of Hesperus with improved performance and more lighting bugfixes,Both,,"performance,bugfix",
Enhanced Block Entities,none,https://modrinth.com/mod/ebe-backforged,,,,"Aims to increase the performance of block entity rendering, as well as offer customizability via resource packs.",Client,requires Indium to be installed for compatibility with Sodium,performance,
Packet Fixer,https://www.curseforge.com/minecraft/mc-mods/packet-fixer,https://modrinth.com/mod/packet-fixer,,,,fixes various packets/NBTs errors,Both,,bugfix,
Not Enough Recipe Book,https://www.curseforge.com/minecraft/mc-mods/notenoughrecipebook,https://modrinth.com/mod/nerb,,,,"Completely removes recipe book from the game, improving player data reading speeds",Both,,performance,
Redirectionor (Retro),https://www.curseforge.com/minecraft/mc-mods/redirectionor-retro,,,,,Reduces memory usage by replacing references to element values in enum classes with public static final field values references.,Client Optional,,performance,4
ID Conflicts Viewer,https://www.curseforge.com/minecraft/mc-mods/idcv,https://modrinth.com/mod/idcv,,,,Helps resolve ID conflicts by logging all ids and what they are occupied by.,Either,,utility,
Entity Culling Unofficial,https://www.curseforge.com/minecraft/mc-mods/entityculling-unofficial,https://modrinth.com/mod/entitycullingunofficial,,,,Unofficial backport of Entity Culling to 1.7.10,Client,,performance,
Angelica,,,https://github.com/GTNewHorizons/Angelica,"[[""1.7.10"", ""Forge""]]","OptiFine, NotFine, Fastcraft, BetterFPS, Neodymium",OptiFine replacement for 1.7.10,Client,alpha,"performance,utility",4
Fast Async World Save,https://www.curseforge.com/minecraft/mc-mods/fast-async-world-save-forge-fabric,,,,,Makes data saved asynchronously during the intermittent world save every 5 minutes to prevent lag spikes.,Server,closed source,performance,
Recipe Essentials,https://www.curseforge.com/minecraft/mc-mods/recipe-essentials-forge-fabric,,,,,"Caches recipe lookups to prevent lag from autocrafting machines, etc and reduces size of the recipe packet to avoid size issues",Either,closed source,performance,
Phosphor Legacy Forge,,https://modrinth.com/mod/phosphorlegacyforge,,,,Unofficial backport of Phosphor to Forge 1.7.10,Client,,performance,
Phosphor Legacy,,https://modrinth.com/mod/phosphor-legacy,,,,Unofficial backport of Phosphor to Legacy Fabric 1.12.2 & 1.8.9,Client,,performance,